id;trip_name;start_date;end_date;total_days;review
1;synergy;Bacon Gorgeous Product;Awesome;45965;convergence global granular
2;SMTP turquoise;International;Idaho;48209;Nevada New Metal
3;archive collaboration;up;Planner;24490;payment payment
4;blue Rand;Frozen Handcrafted;redundant card;58289;Shoes
5;Cotton Credit generate;Motorway;Buckinghamshire Port RSS;34831;Savings
6;Switchable Checking;solution;Chicken;48079;metrics Minnesota silver
7;calculate;AGP;Chicken Maine;26541;Venezuela Branding Plastic
8;Strategist invoice Borders;transitional Cambridgeshire neural;secondary deposit;705;Computers moratorium Forward
9;hack;Sri scalable;Mandatory;70773;Alaska Avon
10;Dobra Sports;Tactics Plastic;Hat protocol B2C;21076;Soft payment
